Date,Open,High,Low,Close,Adj Close,Volume
04-01-2010,7.6225,7.660714,7.585,7.643214,6.535085,493729600
05-01-2010,7.664286,7.699643,7.616071,7.656429,6.546383,601904800
06-01-2010,7.656429,7.686786,7.526786,7.534643,6.442255,552160000
07-01-2010,7.5625,7.571429,7.466071,7.520714,6.430344,477131200
08-01-2010,7.510714,7.571429,7.466429,7.570714,6.473097,447610800
11-01-2010,7.6,7.607143,7.444643,7.503929,6.415993,462229600
12-01-2010,7.471071,7.491786,7.372143,7.418571,6.343011,594459600
13-01-2010,7.423929,7.533214,7.289286,7.523214,6.432482,605892000
14-01-2010,7.503929,7.516429,7.465,7.479643,6.395229,432894000
15-01-2010,7.533214,7.557143,7.3525,7.354643,6.28835,594067600
19-01-2010,7.440357,7.685357,7.401429,7.68,6.566538,730007600
20-01-2010,7.675357,7.698214,7.482143,7.561786,6.465462,612152800
21-01-2010,7.574286,7.618214,7.400357,7.431071,6.353698,608154400
22-01-2010,7.385,7.410714,7.041429,7.0625,6.038565,881767600
25-01-2010,7.2325,7.310714,7.149643,7.2525,6.201017,1065699600
26-01-2010,7.355357,7.6325,7.235,7.355,6.288656,1867110000
27-01-2010,7.3875,7.520714,7.126071,7.424286,6.347899,1722568400
28-01-2010,7.318929,7.339286,7.096429,7.1175,6.085589,1173502400
29-01-2010,7.181429,7.221429,6.794643,6.859286,5.864813,1245952400
01-02-2010,6.870357,7,6.832143,6.954643,5.946344,749876400
02-02-2010,6.996786,7.011429,6.906429,6.995,5.98085,698342400
03-02-2010,6.970357,7.15,6.943571,7.115357,6.083756,615328000
04-02-2010,7.026071,7.084643,6.841786,6.858929,5.864507,757652000
05-02-2010,6.879643,7,6.816071,6.980714,5.968636,850306800
08-02-2010,6.988929,7.067143,6.928571,6.932857,5.927717,478270800
09-02-2010,7.015,7.053571,6.955357,7.006786,5.990928,632886800
10-02-2010,6.996071,7.021429,6.937857,6.968571,5.958253,370361600
11-02-2010,6.96,7.133929,6.930714,7.095357,6.066657,550345600
12-02-2010,7.075357,7.201429,6.982143,7.156429,6.118876,655468800
16-02-2010,7.212143,7.274643,7.197143,7.264286,6.211095,543737600
17-02-2010,7.2925,7.296786,7.173571,7.233929,6.185138,436396800
18-02-2010,7.201071,7.281786,7.175714,7.2475,6.196743,422825200
19-02-2010,7.209286,7.257143,7.1825,7.2025,6.158268,415469600
22-02-2010,7.226429,7.232143,7.113929,7.157857,6.120096,390563600
23-02-2010,7.142857,7.190357,6.989643,7.037857,6.017493,575094800
24-02-2010,7.079643,7.194286,7.065714,7.166429,6.127426,460566400
25-02-2010,7.049286,7.245,7.031786,7.214286,6.168343,665126000
26-02-2010,7.227857,7.3275,7.214286,7.307857,6.248349,507460800
01-03-2010,7.348214,7.482143,7.3375,7.463929,6.381793,550093600
02-03-2010,7.4975,7.529643,7.419286,7.458929,6.377518,566546400
03-03-2010,7.462143,7.495357,7.426429,7.476071,6.392174,372052800
04-03-2010,7.474286,7.532857,7.451071,7.525357,6.434316,366041200
05-03-2010,7.676429,7.846429,7.665357,7.819643,6.685934,899620400
08-03-2010,7.8575,7.860357,7.794643,7.824286,6.689906,429889600
09-03-2010,7.796786,8.035714,7.781786,7.965,6.810218,920259200
10-03-2010,7.993929,8.052857,7.971429,8.03,6.865795,596218000
11-03-2010,7.996786,8.053571,7.975714,8.053571,6.885949,405700400
12-03-2010,8.120357,8.133214,8.0625,8.092857,6.919538,416323600
15-03-2010,8.049286,8.053571,7.866071,7.994286,6.835258,493502800
16-03-2010,8.006429,8.035,7.946786,8.016071,6.853885,446908000
17-03-2010,8.032143,8.0875,7.973929,8.004286,6.843809,450956800
18-03-2010,8.003571,8.035714,7.950357,8.023214,6.859992,342109600
19-03-2010,8.028214,8.044286,7.901071,7.9375,6.786705,559445600
22-03-2010,7.873929,8.071429,7.8625,8.026786,6.863044,456419600
23-03-2010,8.058571,8.170714,8.003571,8.155714,6.973283,602431200
24-03-2010,8.13,8.221429,8.125357,8.191786,7.004123,597780400
25-03-2010,8.247143,8.248929,8.080357,8.094643,6.921065,542284400
26-03-2010,8.176786,8.283929,8.1625,8.246429,7.050845,640875200
29-03-2010,8.321429,8.3525,8.272143,8.299643,7.096344,540744400
30-03-2010,8.45,8.481429,8.366071,8.423214,7.202002,527310000
31-03-2010,8.410357,8.450357,8.373571,8.392857,7.176042,430659600
01-04-2010,8.478929,8.526071,8.3125,8.4275,7.205663,603145200
05-04-2010,8.392143,8.518214,8.384643,8.5175,7.282615,684507600
06-04-2010,8.507143,8.58,8.464286,8.555,7.314679,447017200
07-04-2010,8.555357,8.64,8.523571,8.592857,7.347044,628502000
08-04-2010,8.587143,8.626429,8.501429,8.569643,7.327199,572989200
09-04-2010,8.6225,8.638929,8.587857,8.635357,7.383387,334182800
12-04-2010,8.65,8.681071,8.636071,8.653214,7.39865,333026400
13-04-2010,8.637857,8.671429,8.611071,8.658214,7.402927,306210800
14-04-2010,8.76,8.778929,8.716786,8.774643,7.502477,404076400
15-04-2010,8.777857,8.893929,8.768214,8.89,7.60111,376784800
16-04-2010,8.8775,8.969286,8.733929,8.835714,7.554696,750545600
19-04-2010,8.8225,8.853214,8.634643,8.823929,7.544617,566924400
20-04-2010,8.876429,8.901786,8.677143,8.735357,7.468888,738326400
21-04-2010,9.242857,9.294643,9.133214,9.257857,7.915635,982391200
22-04-2010,9.222857,9.526786,9.15,9.516786,8.13702,793424800
23-04-2010,9.571071,9.720714,9.535714,9.6725,8.270161,796955600
26-04-2010,9.71,9.730714,9.578214,9.625,8.229548,479068800
27-04-2010,9.545357,9.565714,9.304286,9.358571,8.001744,709343600
28-04-2010,9.401786,9.428571,9.1575,9.342857,7.988315,758402400
29-04-2010,9.393571,9.642857,9.3575,9.594286,8.203287,558840800
